name,datetime (utc timezone),fan_count
bnk48official.mewnich,2018-10-01 00:00:00,176113
bnk48official.tarwaan,2018-10-01 00:00:00,169438
bnk48official.pupe,2018-10-01 00:00:00,167587
bnk48official.satchan,2018-10-01 00:00:00,163492
bnk48official.natherine,2018-10-01 00:00:00,160178
bnk48official.jan,2018-10-01 00:00:00,151541
bnk48official.namsai,2018-10-01 00:00:00,134001
bnk48official.jane,2018-10-01 00:00:00,124085
bnk48official.fond,2018-10-01 00:00:00,111301
bnk48official.ratah,2018-10-01 00:00:00,110357
bnk48official.june,2018-10-01 00:00:00,110185
bnk48official.mind,2018-10-01 00:00:00,106688
bnk48official.miori,2018-10-01 00:00:00,105182
bnk48official.korn,2018-10-01 00:00:00,104475
bnk48official.maysa,2018-10-01 00:00:00,98663
bnk48official.wee,2018-10-01 00:00:00,89301
bnk48official.nink,2018-10-01 00:00:00,84462
bnk48official.jaa,2018-10-01 00:00:00,84044
bnk48official.piam,2018-10-01 00:00:00,80646
bnk48official.jib,2018-10-01 00:00:00,79814
bnk48official.phukkhom,2018-10-01 00:00:00,76323
bnk48official.izutarina,2018-10-01 00:00:00,75647
bnk48official.new,2018-10-01 00:00:00,68425
bnk48official.bamboo,2018-10-01 00:00:00,65979
bnk48official.minmin,2018-10-01 00:00:00,58020
bnk48official.kate,2018-10-01 00:00:00,56885
bnk48official.cake,2018-10-01 00:00:00,56518
bnk48official.view,2018-10-01 00:00:00,51275
bnk48official.panda,2018-10-01 00:00:00,49641
bnk48official.gygee,2018-10-01 00:00:00,47943
pakwan.bnk48official,2018-10-01 00:00:00,47156
bnk48official.kheng,2018-10-01 00:00:00,45046
bnk48official.myyu,2018-10-01 00:00:00,43894
bnk48official.stang,2018-10-01 00:00:00,42658
bnk48official.oom,2018-10-01 00:00:00,41526
bnk48official.niky,2018-10-01 00:00:00,40893
bnk48official.maira,2018-10-01 00:00:00,40786
bnk48official.aom,2018-10-01 00:00:00,40271
bnk48official.faii,2018-10-01 00:00:00,39145
bnk48official.deenee,2018-10-01 00:00:00,30740
bnk48official.khamin,2018-10-01 00:00:00,28834
bnk48official.fifa,2018-10-01 00:00:00,26638
bnk48official.nine,2018-10-01 00:00:00,25829
bnk48official.cherprang,2018-09-30 23:00:00,548495
bnk48official.pun,2018-09-30 23:00:00,547099
bnk48official.orn,2018-09-30 23:00:00,346779
bnk48official.jennis,2018-09-30 23:00:00,274418
bnk48official.noey,2018-09-30 23:00:00,273522
bnk48official.mobile,2018-09-30 23:00:00,270686
bnk48official.music,2018-09-30 23:00:00,262082
bnk48official.kaimook,2018-09-30 23:00:00,247814
bnk48official.kaew,2018-09-30 23:00:00,216423
bnk48official.namneung,2018-09-30 23:00:00,176674
bnk48official.mewnich,2018-09-30 23:00:00,176107
bnk48official.tarwaan,2018-09-30 23:00:00,169435
bnk48official.pupe,2018-09-30 23:00:00,167574
bnk48official.satchan,2018-09-30 23:00:00,163490
bnk48official.natherine,2018-09-30 23:00:00,160170
bnk48official.jan,2018-09-30 23:00:00,151541
bnk48official.namsai,2018-09-30 23:00:00,133996
bnk48official.jane,2018-09-30 23:00:00,124067
bnk48official.fond,2018-09-30 23:00:00,111292
bnk48official.ratah,2018-09-30 23:00:00,110353
bnk48official.june,2018-09-30 23:00:00,110176
bnk48official.mind,2018-09-30 23:00:00,106686
bnk48official.miori,2018-09-30 23:00:00,105176
bnk48official.korn,2018-09-30 23:00:00,104466
bnk48official.maysa,2018-09-30 23:00:00,98658
bnk48official.wee,2018-09-30 23:00:00,89272
bnk48official.nink,2018-09-30 23:00:00,84459
bnk48official.jaa,2018-09-30 23:00:00,84039
bnk48official.piam,2018-09-30 23:00:00,80645
bnk48official.jib,2018-09-30 23:00:00,79812
bnk48official.phukkhom,2018-09-30 23:00:00,76310
bnk48official.izutarina,2018-09-30 23:00:00,75643
bnk48official.new,2018-09-30 23:00:00,68417
bnk48official.bamboo,2018-09-30 23:00:00,65974
bnk48official.minmin,2018-09-30 23:00:00,58016
bnk48official.kate,2018-09-30 23:00:00,56886
bnk48official.cake,2018-09-30 23:00:00,56513
bnk48official.view,2018-09-30 23:00:00,51270
bnk48official.panda,2018-09-30 23:00:00,49642
bnk48official.gygee,2018-09-30 23:00:00,47934
pakwan.bnk48official,2018-09-30 23:00:00,47153
bnk48official.kheng,2018-09-30 23:00:00,45039
bnk48official.myyu,2018-09-30 23:00:00,43886
bnk48official.stang,2018-09-30 23:00:00,42655
bnk48official.oom,2018-09-30 23:00:00,41524
bnk48official.niky,2018-09-30 23:00:00,40890
bnk48official.maira,2018-09-30 23:00:00,40781
bnk48official.aom,2018-09-30 23:00:00,40270
bnk48official.faii,2018-09-30 23:00:00,39141
bnk48official.deenee,2018-09-30 23:00:00,30739
bnk48official.khamin,2018-09-30 23:00:00,28834
bnk48official.fifa,2018-09-30 23:00:00,26635
bnk48official.nine,2018-09-30 23:00:00,25825
bnk48official.cherprang,2018-09-30 22:00:00,548485
bnk48official.pun,2018-09-30 22:00:00,547095
bnk48official.orn,2018-09-30 22:00:00,346776
bnk48official.jennis,2018-09-30 22:00:00,274410
bnk48official.noey,2018-09-30 22:00:00,273519
bnk48official.mobile,2018-09-30 22:00:00,270680
