name,datetime (utc timezone),followed
music.bnk48official,2018-09-30 22:00:00,432753
noey.bnk48office,2018-09-30 22:00:00,399604
kaimook.bnk48official,2018-09-30 22:00:00,375884
kaew.bnk48official,2018-09-30 22:00:00,343329
jane.bnk48official,2018-09-30 22:00:00,320486
tarwaan.bnk48office,2018-09-30 22:00:00,305219
namneung.bnk48official,2018-09-30 22:00:00,298108
mewnich.bnk48official,2018-09-30 22:00:00,292806
satchan.bnk48official,2018-09-30 22:00:00,289813
pupe.bnk48official,2018-09-30 22:00:00,288251
namsai.bnk48official,2018-09-30 22:00:00,271237
june.bnk48office,2018-09-30 22:00:00,270008
miori.bnk48official,2018-09-30 22:00:00,244464
fond.bnk48office,2018-09-30 22:00:00,233255
jaa.bnk48official,2018-09-30 22:00:00,228237
rinaizuta.bnk48official,2018-09-30 22:00:00,225358
maysa.bnk48official,2018-09-30 22:00:00,218797
mind.bnk48official,2018-09-30 22:00:00,217751
korn.bnk48official,2018-09-30 22:00:00,210181
ratah.bnk48official,2018-09-30 22:00:00,205322
nink.bnk48official,2018-09-30 22:00:00,196400
wee.bnk48official,2018-09-30 22:00:00,191441
kate.bnk48official,2018-09-30 22:00:00,185923
jib.bnk48office,2018-09-30 22:00:00,179678
piam.bnk48office,2018-09-30 22:00:00,175661
bamboo.bnk48office,2018-09-30 22:00:00,161126
phukkhom.bnk48office,2018-09-30 22:00:00,156139
myyu.bnk48official,2018-09-30 22:00:00,149873
cake.bnk48official,2018-09-30 22:00:00,147007
new.bnk48official,2018-09-30 22:00:00,145098
view.bnk48official,2018-09-30 22:00:00,136710
natherine.bnk48official,2018-09-30 22:00:00,132485
minmin.bnk48office,2018-09-30 22:00:00,131084
aom.bnk48official,2018-09-30 22:00:00,130911
gygee.bnk48official,2018-09-30 22:00:00,130256
niky.bnk48office,2018-09-30 22:00:00,129825
pakwan.bnk48office,2018-09-30 22:00:00,128953
kheng.bnk48official,2018-09-30 22:00:00,128925
panda.bnk48official,2018-09-30 22:00:00,122732
khamin.bnk48official,2018-09-30 22:00:00,119790
stang.bnk48office,2018-09-30 22:00:00,118397
faii.bnk48official,2018-09-30 22:00:00,116834
deenee.bnk48official,2018-09-30 22:00:00,115289
oom.bnk48official,2018-09-30 22:00:00,112896
maira.bnk48official,2018-09-30 22:00:00,109722
fifa.bnk48official,2018-09-30 22:00:00,106919
nine.bnk48official,2018-09-30 22:00:00,94942
pun.bnk48official,2018-09-30 21:00:00,711461
cherprang.bnk48official,2018-09-30 21:00:00,556705
orn.bnk48official,2018-09-30 21:00:00,506414
jennis.bnk48official,2018-09-30 21:00:00,454640
mobile.bnk48official,2018-09-30 21:00:00,448960
music.bnk48official,2018-09-30 21:00:00,432744
noey.bnk48office,2018-09-30 21:00:00,399583
kaimook.bnk48official,2018-09-30 21:00:00,375869
kaew.bnk48official,2018-09-30 21:00:00,343317
jane.bnk48official,2018-09-30 21:00:00,320469
tarwaan.bnk48office,2018-09-30 21:00:00,305211
namneung.bnk48official,2018-09-30 21:00:00,298100
mewnich.bnk48official,2018-09-30 21:00:00,292788
satchan.bnk48official,2018-09-30 21:00:00,289806
pupe.bnk48official,2018-09-30 21:00:00,288241
namsai.bnk48official,2018-09-30 21:00:00,271251
june.bnk48office,2018-09-30 21:00:00,269992
miori.bnk48official,2018-09-30 21:00:00,244451
fond.bnk48office,2018-09-30 21:00:00,233243
jaa.bnk48official,2018-09-30 21:00:00,228229
rinaizuta.bnk48official,2018-09-30 21:00:00,225348
maysa.bnk48official,2018-09-30 21:00:00,218792
mind.bnk48official,2018-09-30 21:00:00,217742
korn.bnk48official,2018-09-30 21:00:00,210173
ratah.bnk48official,2018-09-30 21:00:00,205315
nink.bnk48official,2018-09-30 21:00:00,196392
wee.bnk48official,2018-09-30 21:00:00,191427
kate.bnk48official,2018-09-30 21:00:00,185917
jib.bnk48office,2018-09-30 21:00:00,179668
piam.bnk48office,2018-09-30 21:00:00,175654
bamboo.bnk48office,2018-09-30 21:00:00,161118
phukkhom.bnk48office,2018-09-30 21:00:00,156122
myyu.bnk48official,2018-09-30 21:00:00,149863
cake.bnk48official,2018-09-30 21:00:00,146995
new.bnk48official,2018-09-30 21:00:00,145085
view.bnk48official,2018-09-30 21:00:00,136698
natherine.bnk48official,2018-09-30 21:00:00,132470
minmin.bnk48office,2018-09-30 21:00:00,131072
aom.bnk48official,2018-09-30 21:00:00,130899
gygee.bnk48official,2018-09-30 21:00:00,130248
niky.bnk48office,2018-09-30 21:00:00,129815
pakwan.bnk48office,2018-09-30 21:00:00,128942
kheng.bnk48official,2018-09-30 21:00:00,128917
panda.bnk48official,2018-09-30 21:00:00,122720
khamin.bnk48official,2018-09-30 21:00:00,119779
stang.bnk48office,2018-09-30 21:00:00,118388
faii.bnk48official,2018-09-30 21:00:00,116824
deenee.bnk48official,2018-09-30 21:00:00,115281
oom.bnk48official,2018-09-30 21:00:00,112885
maira.bnk48official,2018-09-30 21:00:00,109713
fifa.bnk48official,2018-09-30 21:00:00,106909
nine.bnk48official,2018-09-30 21:00:00,94935
pun.bnk48official,2018-09-30 20:00:00,711437
cherprang.bnk48official,2018-09-30 20:00:00,556693
orn.bnk48official,2018-09-30 20:00:00,506381
jennis.bnk48official,2018-09-30 20:00:00,454628
mobile.bnk48official,2018-09-30 20:00:00,448945
music.bnk48official,2018-09-30 20:00:00,432732
noey.bnk48office,2018-09-30 20:00:00,399561
kaimook.bnk48official,2018-09-30 20:00:00,375862
kaew.bnk48official,2018-09-30 20:00:00,343303
jane.bnk48official,2018-09-30 20:00:00,320450
tarwaan.bnk48office,2018-09-30 20:00:00,305203
namneung.bnk48official,2018-09-30 20:00:00,298091
mewnich.bnk48official,2018-09-30 20:00:00,292771
satchan.bnk48official,2018-09-30 20:00:00,289800
pupe.bnk48official,2018-09-30 20:00:00,288229
namsai.bnk48official,2018-09-30 20:00:00,271237
june.bnk48office,2018-09-30 20:00:00,269970
miori.bnk48official,2018-09-30 20:00:00,244441
fond.bnk48office,2018-09-30 20:00:00,233230
jaa.bnk48official,2018-09-30 20:00:00,228219
rinaizuta.bnk48official,2018-09-30 20:00:00,225336
maysa.bnk48official,2018-09-30 20:00:00,218785
mind.bnk48official,2018-09-30 20:00:00,217733
korn.bnk48official,2018-09-30 20:00:00,210164
ratah.bnk48official,2018-09-30 20:00:00,205300
nink.bnk48official,2018-09-30 20:00:00,196383
wee.bnk48official,2018-09-30 20:00:00,191411
kate.bnk48official,2018-09-30 20:00:00,185909
jib.bnk48office,2018-09-30 20:00:00,179660
piam.bnk48office,2018-09-30 20:00:00,175648
bamboo.bnk48office,2018-09-30 20:00:00,161106
phukkhom.bnk48office,2018-09-30 20:00:00,156101
myyu.bnk48official,2018-09-30 20:00:00,149851
cake.bnk48official,2018-09-30 20:00:00,146987
new.bnk48official,2018-09-30 20:00:00,145071
view.bnk48official,2018-09-30 20:00:00,136686
natherine.bnk48official,2018-09-30 20:00:00,132456
minmin.bnk48office,2018-09-30 20:00:00,131061
aom.bnk48official,2018-09-30 20:00:00,130888
gygee.bnk48official,2018-09-30 20:00:00,130236
niky.bnk48office,2018-09-30 20:00:00,129806
pakwan.bnk48office,2018-09-30 20:00:00,128933
kheng.bnk48official,2018-09-30 20:00:00,128904
panda.bnk48official,2018-09-30 20:00:00,122710
khamin.bnk48official,2018-09-30 20:00:00,119769
stang.bnk48office,2018-09-30 20:00:00,118379
faii.bnk48official,2018-09-30 20:00:00,116812
deenee.bnk48official,2018-09-30 20:00:00,115273
oom.bnk48official,2018-09-30 20:00:00,112875
maira.bnk48official,2018-09-30 20:00:00,109702
fifa.bnk48official,2018-09-30 20:00:00,106906
nine.bnk48official,2018-09-30 20:00:00,94928
pun.bnk48official,2018-09-30 19:00:00,711417
cherprang.bnk48official,2018-09-30 19:00:00,556687
orn.bnk48official,2018-09-30 19:00:00,506363
jennis.bnk48official,2018-09-30 19:00:00,454608
mobile.bnk48official,2018-09-30 19:00:00,448919
music.bnk48official,2018-09-30 19:00:00,432715
noey.bnk48office,2018-09-30 19:00:00,399532
kaimook.bnk48official,2018-09-30 19:00:00,375847
kaew.bnk48official,2018-09-30 19:00:00,343280
jane.bnk48official,2018-09-30 19:00:00,320413
tarwaan.bnk48office,2018-09-30 19:00:00,305187
namneung.bnk48official,2018-09-30 19:00:00,298083
mewnich.bnk48official,2018-09-30 19:00:00,292742
satchan.bnk48official,2018-09-30 19:00:00,289792
pupe.bnk48official,2018-09-30 19:00:00,288214
namsai.bnk48official,2018-09-30 19:00:00,271220
june.bnk48office,2018-09-30 19:00:00,269949
miori.bnk48official,2018-09-30 19:00:00,244424
fond.bnk48office,2018-09-30 19:00:00,233202
jaa.bnk48official,2018-09-30 19:00:00,228211
rinaizuta.bnk48official,2018-09-30 19:00:00,225327
maysa.bnk48official,2018-09-30 19:00:00,218773
mind.bnk48official,2018-09-30 19:00:00,217722
